"Label (Grouping)","Pennsylvania!!Total!!Estimate","Pennsylvania!!Total!!Margin of Error","Pennsylvania!!Car, truck, or van -- drove alone!!Estimate","Pennsylvania!!Car, truck, or van -- drove alone!!Margin of Error","Pennsylvania!!Car, truck, or van -- carpooled!!Estimate","Pennsylvania!!Car, truck, or van -- carpooled!!Margin of Error","Pennsylvania!!Public transportation!!Estimate","Pennsylvania!!Public transportation!!Margin of Error","Pennsylvania!!Worked from home!!Estimate","Pennsylvania!!Worked from home!!Margin of Error"
"Workers 16 years and over","6,354,294","±31,745","4,337,311","±32,244","516,884","±16,803","273,162","±11,349","883,654","±19,200"
"    AGE","","","","","","","","","",""
"        16 to 19 years","4.1%","±0.1","3.5%","±0.1","9.4%","±0.9","4.1%","±0.7","1.6%","±0.2"
"        20 to 24 years","9.0%","±0.1","8.6%","±0.2","12.7%","±0.9","10.6%","±1.4","4.9%","±0.4"
"        25 to 44 years","42.5%","±0.2","41.5%","±0.3","42.0%","±1.5","51.1%","±2.0","46.0%","±0.8"
"        45 to 54 years","19.1%","±0.1","19.6%","±0.2","18.5%","±0.8","15.2%","±1.3","20.5%","±0.7"
"        55 to 59 years","9.2%","±0.2","9.7%","±0.3","6.8%","±0.6","6.9%","±1.0","9.8%","±0.6"
"        60 years and over","16.1%","±0.2","17.1%","±0.3","10.6%","±0.7","12.0%","±1.3","17.2%","±0.8"
"        Median age (years)","42.4","±0.2","43.3","±0.2","38.7","±0.5","37.4","±0.8","43.8","±0.4"
"    SEX","","","","","","","","","",""
"        Male","51.9%","±0.2","53.5%","±0.4","49.6%","±1.2","44.5%","±1.9","46.9%","±0.7"
"        Female","48.1%","±0.2","46.5%","±0.4","50.4%","±1.2","55.5%","±1.9","53.1%","±0.7"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","",""
"        One race","N","N","N","N","N","N","N","N","N","N"
"            White","75.1%","±0.3","78.8%","±0.3","64.8%","±1.5","39.5%","±2.1","78.0%","±0.8"
"            Black or African American","9.9%","±0.2","8.0%","±0.3","9.8%","±1.3","40.4%","±2.2","8.1%","±0.6"
"            American Indian and Alaska Native","0.3%","±0.1","0.2%","±0.1","1.0%","±0.5","0.4%","±0.2","0.1%","±0.1"
"            Asian","4.5%","±0.1","3.6%","±0.2","6.7%","±0.7","7.7%","±0.9","5.7%","±0.5"
"            Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N","N","N"
"            Some other race","3.5%","±0.2","3.2%","±0.2","7.7%","±1.0","4.7%","±1.1","2.1%","±0.3"
"        Two or more races","6.6%","±0.2","6.2%","±0.2","10.0%","±0.9","7.4%","±1.0","5.9%","±0.6"
"        Hispanic or Latino origin (of any race)","8.6%","±0.2","7.6%","±0.2","18.2%","±1.3","11.8%","±1.6","5.8%","±0.5"
"        White alone, not Hispanic or Latino origin","73.7%","±0.3","77.6%","±0.4","62.0%","±1.5","37.5%","±2.1","76.8%","±0.8"
"    NATIVITY AND CITIZENSHIP STATUS","","","","","","","","","",""
"        Native","89.9%","±0.3","91.2%","±0.3","82.3%","±1.4","82.7%","±1.8","91.2%","±0.6"
"        Foreign born","10.1%","±0.3","8.8%","±0.3","17.7%","±1.4","17.3%","±1.8","8.8%","±0.6"
"            Naturalized U.S. citizen","5.8%","±0.2","5.5%","±0.3","8.4%","±0.8","8.1%","±1.4","5.4%","±0.5"
"            Not a U.S. citizen","4.3%","±0.2","3.3%","±0.2","9.3%","±1.1","9.1%","±1.2","3.5%","±0.4"
"    LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","","","",""
"        Speak language other than English","13.6%","±0.3","11.6%","±0.3","26.2%","±1.4","19.6%","±1.8","11.8%","±0.7"
"            Speak English ""very well""","8.5%","±0.2","7.3%","±0.3","13.6%","±1.0","11.5%","±1.3","9.1%","±0.6"
"            Speak English less than ""very well""","5.1%","±0.2","4.4%","±0.2","12.6%","±1.2","8.1%","±1.4","2.6%","±0.3"
"EARNINGS IN THE PAST 12 MONTHS (IN 2024 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","","","","","","","","","",""
"    Workers 16 years and over with earnings","6,353,679","±31,825","4,337,171","±32,262","516,863","±16,805","272,938","±11,346","883,486","±19,214"
"        $1 to $9,999 or loss","10.0%","±0.2","8.5%","±0.3","15.9%","±1.0","12.4%","±1.5","7.3%","±0.4"
"        $10,000 to $14,999","4.6%","±0.1","4.4%","±0.2","6.8%","±0.7","5.7%","±0.9","3.0%","±0.3"
"        $15,000 to $24,999","8.4%","±0.2","8.3%","±0.3","11.7%","±0.8","11.8%","±1.3","5.4%","±0.5"
"        $25,000 to $34,999","9.6%","±0.2","10.0%","±0.3","12.3%","±0.8","11.3%","±1.7","5.5%","±0.4"
